"race","height","weight","speed","strength","dexterity","constitution","intelligence","wisdom","charisma"
"dragonborn",71,210,30,8,10,11,11,16,13
"dragonborn",75,211,30,12,12,16,11,13,18
"dragonborn",81,220,30,16,15,16,16,11,14
"dragonborn",69,196,30,9,13,18,9,13,16
"dragonborn",72,223,30,19,15,14,14,8,17
"dragonborn",70,211,30,16,12,12,16,15,14
"dragonborn",75,256,30,13,16,14,12,12,12
"dragonborn",74,223,30,19,18,16,11,13,6
"dragonborn",75,202,30,16,10,7,13,15,11
"dragonborn",75,211,30,18,17,13,9,16,14
"dragonborn",70,219,30,12,11,13,10,14,12
"dragonborn",73,196,30,18,13,14,13,13,12
"dragonborn",71,195,30,9,12,14,11,11,6
"dragonborn",74,199,30,14,16,12,11,13,9
"dragonborn",76,255,30,14,14,13,14,5,10
"dragonborn",74,255,30,10,8,13,4,11,16
"dragonborn",74,223,30,15,7,15,11,13,14
"dragonborn",76,255,30,17,14,13,15,14,12
"dragonborn",70,219,30,14,15,12,8,4,16
"dragonborn",78,295,30,13,14,14,13,8,13
"dragonborn",76,225,30,20,14,11,9,16,11
"dragonborn",80,301,30,13,15,13,16,6,12
"dragonborn",75,238,30,8,14,10,14,15,15
"dragonborn",77,230,30,13,15,13,16,13,10
"dragonborn",72,193,30,10,11,13,12,17,9
"dragonborn",79,201,30,12,17,12,7,13,15
"dragonborn",75,283,30,16,15,15,12,17,15
"dragonborn",75,247,30,14,18,12,17,12,17
"dragonborn",73,238,30,14,14,15,15,10,13
"dragonborn",80,287,30,10,16,10,15,9,17
"dragonborn",78,259,30,14,11,14,15,16,18
"dragonborn",80,287,30,12,14,15,12,14,18
"dragonborn",79,279,30,19,13,17,11,13,17
"dragonborn",73,196,30,18,11,16,14,15,17
"dragonborn",72,229,30,20,9,14,14,8,13
"dragonborn",74,215,30,14,7,15,16,16,17
"dragonborn",70,207,30,19,14,15,12,17,19
"dragonborn",71,225,30,12,13,12,14,14,12
"dragonborn",71,215,30,19,13,13,16,12,11
"dragonborn",78,259,30,17,7,12,14,10,14
"dragonborn",77,296,30,12,16,9,11,11,11
"dragonborn",73,217,30,14,14,13,17,16,13
"dragonborn",74,255,30,18,13,11,10,14,15
"dragonborn",81,295,30,13,6,8,15,13,13
"dragonborn",74,271,30,15,13,18,6,11,15
"dragonborn",81,325,30,13,8,15,14,10,9
"dragonborn",73,203,30,17,14,11,12,17,9
"dragonborn",78,271,30,15,14,16,10,9,12
"dragonborn",74,239,30,18,17,11,15,8,15
"dragonborn",71,185,30,18,13,15,16,14,12
"dragonborn",73,231,30,14,10,12,7,7,15
"dragonborn",76,225,30,18,16,9,10,13,12
"dragonborn",74,199,30,15,12,12,8,17,12
"dragonborn",78,259,30,15,12,7,10,14,18
"dragonborn",76,245,30,11,11,13,8,7,12
"dragonborn",72,229,30,15,16,14,13,10,19
"dragonborn",82,319,30,12,15,14,13,14,11
"dragonborn",74,231,30,12,18,15,15,15,12
"dragonborn",79,279,30,19,16,8,13,11,16
"dragonborn",75,211,30,10,18,6,11,13,15
"dragonborn",80,301,30,16,12,16,14,13,9
"dragonborn",72,217,30,16,8,9,9,13,9
"dragonborn",80,245,30,15,9,16,12,10,14
"dragonborn",70,191,30,15,19,13,10,12,17
"dragonborn",76,265,30,16,17,16,12,14,16
"dragonborn",73,217,30,16,12,13,13,8,17
"dragonborn",79,279,30,13,15,15,14,12,16
"dragonborn",76,225,30,17,16,11,16,13,15
"dragonborn",70,207,30,18,14,13,14,13,12
"dragonborn",79,240,30,13,15,15,13,14,10
"dragonborn",74,223,30,11,16,15,12,16,15
"dragonborn",72,211,30,16,15,8,6,7,12
"dragonborn",73,231,30,13,14,8,16,11,17
"dragonborn",79,266,30,19,15,13,7,15,17
"dragonborn",75,265,30,15,12,12,12,12,9
"dragonborn",72,223,30,19,13,13,8,7,14
"dragonborn",77,285,30,16,17,14,11,18,10
"dragonborn",73,217,30,15,18,14,11,6,19
"dragonborn",74,255,30,15,15,14,9,10,11
"dragonborn",75,265,30,11,12,13,11,15,15
"dragonborn",69,187,30,13,20,8,16,12,14
"dragonborn",76,215,30,17,13,15,9,11,9
"dragonborn",71,220,30,12,18,9,14,8,16
"dragonborn",73,224,30,13,13,16,15,7,13
"dragonborn",75,238,30,10,15,15,14,10,15
"dragonborn",73,196,30,13,20,7,9,10,11
"dragonborn",74,239,30,15,15,13,11,14,14
"dragonborn",79,305,30,16,11,9,12,15,9
"dragonborn",68,189,30,15,16,9,15,15,16
"dragonborn",76,285,30,18,11,17,15,18,7
"dragonborn",69,199,30,19,15,13,10,12,8
"dragonborn",70,195,30,12,17,11,17,15,13
"dragonborn",74,231,30,14,12,17,10,18,19
"dragonborn",73,224,30,7,14,17,9,6,10
"dragonborn",77,219,30,18,18,10,7,14,18
"dragonborn",76,295,30,20,15,15,16,10,15
"dragonborn",74,247,30,12,13,10,9,11,11
"dragonborn",75,220,30,11,12,8,11,11,7
"dragonborn",72,205,30,14,18,14,12,14,14
"dragonborn",74,255,30,15,11,11,16,11,15
"dragonborn",75,256,30,13,17,10,10,16,10
"dragonborn",78,295,30,18,13,15,15,16,15
"dragonborn",74,207,30,16,15,13,8,11,15
"dragonborn",77,208,30,10,16,9,15,11,13
"dragonborn",75,247,30,17,14,16,10,11,15
"dragonborn",72,223,30,13,12,9,9,16,18
"dragonborn",73,231,30,18,14,15,10,14,17
"dragonborn",75,283,30,18,17,14,17,10,16
"dragonborn",75,220,30,17,18,10,10,8,15
"dragonborn",81,265,30,13,11,13,7,12,14
"dragonborn",74,239,30,15,16,16,15,15,16
"dragonborn",74,231,30,16,14,10,13,13,16
"dragonborn",78,223,30,14,11,14,14,9,14
"dragonborn",69,199,30,13,12,9,15,10,11
"dragonborn",78,259,30,15,17,15,13,12,11
"dragonborn",78,223,30,13,8,16,16,12,14
"dragonborn",80,259,30,12,15,8,11,13,13
"dragonborn",77,252,30,12,11,11,13,13,14
"dragonborn",80,287,30,15,13,11,11,10,15
"dragonborn",74,215,30,15,19,11,16,11,18
"dragonborn",71,215,30,17,12,13,14,11,15
"dragonborn",71,230,30,12,18,13,11,8,12
"dragonborn",70,199,30,16,13,14,12,13,19
"dragonborn",71,210,30,15,8,12,8,14,15
"dragonborn",71,185,30,16,17,12,10,12,11
"dragonborn",80,315,30,16,16,14,12,10,9
"dragonborn",72,205,30,12,12,11,12,12,14
"dragonborn",77,263,30,16,12,14,9,12,14
"dragonborn",72,217,30,9,13,16,12,15,17
"dragonborn",71,215,30,12,16,16,14,10,13
"dragonborn",74,207,30,13,11,13,10,15,15
"dragonborn",81,280,30,14,16,10,15,5,14
"dragonborn",72,205,30,17,16,13,16,9,14
"dragonborn",74,239,30,18,16,12,10,11,11
"dragonborn",76,265,30,13,18,15,9,11,14
"dragonborn",73,224,30,9,12,12,11,13,7
"dragonborn",74,255,30,13,17,14,17,12,14
"dragonborn",72,199,30,16,14,9,12,11,11
"dragonborn",82,335,30,17,16,10,17,13,11
"dragonborn",80,301,30,18,11,13,14,8,14
"dragonborn",76,235,30,18,12,7,13,9,15
"dragonborn",79,240,30,12,19,16,16,16,10
"dragonborn",75,211,30,17,11,12,12,13,13
"dragonborn",78,223,30,15,15,10,12,9,12
"dragonborn",74,247,30,7,17,9,12,13,12
"dragonborn",73,238,30,15,12,13,8,15,11
"dragonborn",80,315,30,15,15,8,9,12,14
"dragonborn",70,219,30,15,14,12,14,11,17
"dragonborn",79,253,30,16,13,5,14,11,17
"dragonborn",73,210,30,13,13,10,13,10,13
"dragonborn",82,239,30,12,18,13,6,10,19
"dragonborn",71,210,30,10,12,13,9,15,13
"dragonborn",80,287,30,7,12,16,10,12,11
"dragonborn",71,225,30,16,15,14,10,13,15
"dragonborn",75,229,30,11,15,12,11,14,13
"dragonborn",77,263,30,17,14,16,15,7,7
"dragonborn",70,219,30,17,15,16,11,15,12
"dragonborn",75,274,30,16,17,14,17,16,13
"dragonborn",78,283,30,11,11,14,15,9,14
"dragonborn",81,340,30,11,10,16,12,9,17
"dragonborn",76,265,30,12,12,14,15,17,9
"dragonborn",70,199,30,17,17,15,10,17,11
"dragonborn",74,247,30,18,17,11,13,15,15
"dragonborn",74,231,30,15,17,13,14,15,15
"dragonborn",69,193,30,13,14,12,10,13,13
"dragonborn",74,207,30,14,16,10,12,10,16
"dragonborn",69,193,30,17,13,17,13,10,14
"dragonborn",78,235,30,18,15,8,13,8,12
"dragonborn",72,223,30,12,9,11,9,16,15
"dragonborn",79,266,30,15,11,9,13,10,17
"dragonborn",77,252,30,17,14,15,14,15,16
"dragonborn",76,225,30,13,18,12,16,16,9
"dragonborn",77,208,30,9,20,11,18,13,15
"dragonborn",78,271,30,15,12,13,13,11,16
"dragonborn",78,259,30,15,10,16,10,12,15
"dragonborn",76,245,30,14,10,15,11,10,12
"dragonborn",75,238,30,16,16,16,16,11,10
"dragonborn",79,227,30,14,14,13,14,10,14
"dragonborn",74,247,30,10,14,10,14,14,12
"dragonborn",71,200,30,16,13,15,11,8,15
"dragonborn",76,225,30,16,14,8,15,10,16
"dragonborn",69,187,30,9,18,9,13,12,14
"dragonborn",72,223,30,17,14,8,9,11,11
"dragonborn",71,205,30,17,12,9,18,17,15
"dragonborn",76,255,30,19,14,17,10,8,15
"dragonborn",74,231,30,18,19,14,12,10,11
"dragonborn",76,225,30,11,11,11,13,11,15
"dragonborn",77,296,30,15,11,14,15,11,17
"dragonborn",74,239,30,14,11,15,15,15,13
"dragonborn",76,215,30,12,17,6,15,11,12
"dragonborn",74,239,30,14,13,16,11,11,13
"dragonborn",74,231,30,18,14,15,11,11,17
"dragonborn",71,210,30,14,14,11,16,10,14
"dragonborn",74,247,30,18,13,8,8,10,17
"dragonborn",80,315,30,14,14,12,15,9,14
"dragonborn",72,211,30,11,11,15,14,11,16
"dragonborn",70,203,30,13,15,15,10,10,15
"dragonborn",75,274,30,14,13,12,16,11,9
"dragonborn",73,203,30,14,12,16,11,9,16
"dragonborn",79,227,30,16,16,17,16,13,13
"dragonborn",72,211,30,14,14,13,15,12,9
"dragonborn",73,210,30,17,13,7,10,18,10
"dragonborn",68,185,30,15,16,7,16,12,9
"dragonborn",75,238,30,17,15,11,15,13,14
"dragonborn",70,195,30,16,14,14,9,14,17
"dragonborn",81,295,30,13,15,10,11,15,15
"dragonborn",80,259,30,10,18,13,14,13,14
"dragonborn",76,235,30,15,17,9,14,13,13
"dragonborn",76,265,30,10,15,12,8,14,11
"dragonborn",78,259,30,19,9,14,14,15,12
"dragonborn",77,219,30,19,17,14,8,15,10
"dragonborn",72,235,30,18,9,13,17,13,16
"dragonborn",80,273,30,13,13,16,18,16,13
"dragonborn",80,315,30,18,17,15,13,15,11
"dragonborn",75,229,30,14,16,11,14,8,13
"dragonborn",70,187,30,12,6,10,9,7,17
"dragonborn",77,274,30,16,11,13,17,10,12
"dragonborn",73,196,30,12,17,14,8,15,7
"dragonborn",77,285,30,12,15,15,11,16,14
"dragonborn",76,255,30,16,16,8,10,10,16
"dragonborn",72,229,30,18,11,11,17,15,10
"dragonborn",72,205,30,14,14,12,13,16,16
"dragonborn",73,210,30,14,16,11,17,13,14
"dragonborn",71,195,30,12,17,14,14,14,11
"dragonborn",76,245,30,14,12,10,16,5,14
"dragonborn",72,211,30,12,15,13,13,14,12
"dragonborn",77,219,30,14,15,10,14,13,14
"dragonborn",73,231,30,13,16,14,15,15,13
"dragonborn",69,193,30,14,19,10,14,13,14
"dragonborn",76,265,30,14,12,13,7,10,9
"dragonborn",76,255,30,13,16,9,18,6,18
"dragonborn",72,217,30,14,11,7,12,10,12
"dragonborn",74,239,30,16,15,13,11,12,9
"dragonborn",76,255,30,13,10,13,13,13,10
"dragonborn",75,256,30,13,18,16,12,13,16
"dragonborn",81,250,30,16,12,17,11,12,17
"dragonborn",72,223,30,10,15,11,14,14,10
"dragonborn",71,210,30,12,10,15,12,9,15
"dragonborn",70,195,30,12,14,13,15,11,11
"dragonborn",73,231,30,17,10,14,15,8,16
"dragonborn",74,247,30,17,13,8,11,16,8
"dragonborn",73,224,30,16,12,13,14,5,10
"dragonborn",76,285,30,6,9,14,17,15,17
"dragonborn",68,187,30,20,8,13,11,14,15
"dragonborn",78,307,30,12,15,10,12,13,11
"dragonborn",79,240,30,17,19,12,9,13,16
"dragonborn",80,301,30,18,9,13,13,16,17
"dragonborn",76,235,30,16,16,9,17,11,14
"dragonborn",74,247,30,10,12,12,5,13,14
"dragonborn",72,211,30,10,15,13,11,13,8
"dragonborn",75,247,30,16,14,11,16,14,12
"dragonborn",72,223,30,9,16,15,15,12,14
"dragonborn",76,235,30,19,13,5,10,12,17
"dragonborn",71,225,30,14,14,10,13,12,12
"dragonborn",71,210,30,14,14,10,16,12,12
"dragonborn",74,247,30,17,14,14,12,16,12
"dragonborn",79,318,30,15,13,12,8,10,17
"dragonborn",73,231,30,17,18,10,7,12,8
"dragonborn",82,271,30,13,17,12,13,17,9
"dragonborn",81,310,30,17,11,16,15,12,10
"dragonborn",78,307,30,19,17,9,11,16,19
"dragonborn",73,245,30,15,13,13,11,9,14
"dragonborn",80,287,30,14,16,8,14,16,11
"dragonborn",75,229,30,19,14,16,12,13,10
"dragonborn",71,230,30,11,12,10,17,13,9
"dragonborn",74,223,30,12,16,16,18,9,10
"dragonborn",78,259,30,16,16,8,11,6,18
"dragonborn",73,189,30,14,12,13,13,11,13
"dragonborn",76,245,30,12,10,17,13,13,13
"dragonborn",77,219,30,15,18,16,13,12,15
"dragonborn",77,252,30,18,13,14,15,14,15
"dragonborn",73,196,30,14,20,12,11,5,8
"dragonborn",80,287,30,17,18,12,16,11,17
"dragonborn",78,283,30,14,10,13,14,12,18
"dragonborn",79,253,30,12,11,11,15,13,14
"dragonborn",79,279,30,12,11,11,8,17,16
"dragonborn",75,247,30,12,13,13,11,14,17
"dragonborn",79,305,30,18,13,13,12,13,13
"dragonborn",74,239,30,16,16,9,17,12,17
"dragonborn",72,217,30,14,19,14,14,15,17
"dragonborn",77,219,30,9,17,11,9,16,18
"dragonborn",69,193,30,10,16,6,14,5,17
"dragonborn",70,203,30,14,15,16,15,12,10
"dragonborn",75,229,30,8,17,15,14,15,14
"dragonborn",76,205,30,15,18,9,12,17,9
"dragonborn",78,259,30,14,10,8,12,8,10
"dragonborn",79,305,30,9,14,12,12,11,13
"dragonborn",72,217,30,9,11,11,14,14,12
"dragonborn",78,235,30,15,12,12,16,15,14
"dragonborn",76,255,30,13,17,9,12,9,12
"dragonborn",78,223,30,10,13,14,12,11,14
"dragonborn",75,247,30,9,14,11,13,11,12
"dragonborn",76,225,30,11,14,10,9,8,10
"dragonborn",80,287,30,17,19,10,16,10,12
"dragonborn",72,229,30,14,17,14,10,12,11
"dragonborn",81,340,30,15,14,7,11,13,18
"dragonborn",77,230,30,14,13,10,13,10,16
"dragonborn",71,210,30,17,11,17,15,12,14
"dragonborn",75,238,30,9,9,11,9,11,14
"dragonborn",74,247,30,17,16,12,13,15,10
"dragonborn",75,220,30,12,15,11,10,14,14
"dragonborn",74,207,30,6,15,7,14,11,6
"dragonborn",72,223,30,9,9,15,14,7,15
"dragonborn",80,273,30,13,18,12,6,11,9
"dragonborn",77,230,30,15,16,8,7,16,14
"dragonborn",72,229,30,13,16,9,6,16,12
"dragonborn",77,285,30,18,19,12,16,10,10
"dragonborn",82,287,30,11,16,11,14,13,9
"dragonborn",79,253,30,12,19,13,10,13,18
"dragonborn",68,193,30,14,17,14,15,11,11
"dragonborn",69,187,30,16,15,12,17,14,12
"dragonborn",81,325,30,12,15,13,12,13,17
"dragonborn",74,223,30,18,13,12,12,11,16
"dragonborn",78,247,30,12,7,14,12,17,15
"dragonborn",73,196,30,12,19,15,12,12,13
"dragonborn",80,273,30,9,11,15,16,8,12
"dragonborn",74,247,30,19,16,10,10,14,14
"dragonborn",81,340,30,8,17,17,12,12,11
"dragonborn",73,238,30,15,10,13,13,14,13
"dragonborn",80,287,30,12,12,15,10,10,16
"dragonborn",77,219,30,15,16,12,14,12,14
"dragonborn",74,239,30,14,12,12,15,17,13
"dragonborn",75,238,30,16,13,11,14,12,9
"dragonborn",74,271,30,14,17,13,11,15,15
"dragonborn",81,280,30,15,14,11,16,13,11
"dragonborn",75,247,30,13,15,14,9,15,14
"dragonborn",80,287,30,20,16,16,7,13,14
"dragonborn",71,195,30,9,13,16,10,14,16
"dragonborn",74,207,30,16,14,16,12,12,10
"dragonborn",79,331,30,10,13,14,7,11,12
"dragonborn",74,231,30,11,15,9,12,11,13
"dragonborn",76,225,30,13,16,13,16,18,11
"dragonborn",71,210,30,15,15,9,17,13,14
"dragonborn",81,310,30,12,19,6,12,11,13
"dragonborn",80,287,30,15,18,8,12,11,16
"dragonborn",77,274,30,14,20,13,13,15,13
"dragonborn",78,247,30,15,17,15,13,18,11
"dragonborn",76,265,30,17,18,14,15,12,11
"dragonborn",70,183,30,15,16,15,11,9,16
"dragonborn",69,196,30,15,14,13,12,15,17
"dragonborn",77,285,30,11,14,11,9,10,15
"dragonborn",72,193,30,17,12,9,8,10,13
"dragonborn",73,189,30,17,14,10,12,12,10
"dragonborn",80,231,30,13,16,9,9,15,14
"dragonborn",72,223,30,12,13,16,15,13,14
"dragonborn",74,239,30,14,18,8,11,17,19
"dragonborn",72,217,30,18,9,13,11,16,15
"dragonborn",73,217,30,11,17,11,16,12,14
"dragonborn",75,220,30,16,15,14,9,15,10
"dragonborn",72,235,30,18,12,16,11,17,13
"dragonborn",73,217,30,18,13,12,15,13,16
"dragonborn",75,193,30,16,15,12,12,11,17
"dragonborn",77,296,30,13,15,12,11,7,17
"dragonborn",79,214,30,14,14,15,11,11,12
"dragonborn",74,263,30,18,13,9,13,16,6
"dragonborn",78,283,30,10,14,13,16,17,14
"dragonborn",76,275,30,16,17,14,15,13,14
"dragonborn",74,215,30,10,18,13,7,8,14
"dragonborn",81,310,30,20,12,10,13,15,17
"dragonborn",76,255,30,14,13,16,13,13,12
"dragonborn",73,210,30,15,13,17,12,11,13
"dragonborn",75,211,30,16,17,12,13,9,14
"dragonborn",78,271,30,13,15,14,9,14,14
"dragonborn",74,215,30,15,17,11,10,12,17
"dragonborn",79,305,30,16,12,6,14,10,11
"dragonborn",74,231,30,15,15,16,13,16,15
"dragonborn",76,275,30,14,18,13,16,6,17
"dragonborn",76,245,30,13,12,11,14,9,12
"dragonborn",77,241,30,18,19,14,5,11,15
"dragonborn",75,238,30,12,14,13,15,14,12
"dragonborn",81,220,30,16,17,11,12,9,6
"dragonborn",77,274,30,14,15,16,15,13,8
"dragonborn",73,231,30,16,14,13,14,10,14
"dragonborn",68,185,30,18,16,8,11,14,12
"dragonborn",72,229,30,11,16,17,13,4,17
"dragonborn",79,305,30,12,15,15,11,15,14
"dragonborn",75,256,30,10,14,10,17,16,9
"dragonborn",74,207,30,8,10,12,7,10,16
"dragonborn",73,217,30,18,14,18,12,8,14
"dragonborn",72,241,30,17,11,14,13,9,12
"dragonborn",74,231,30,14,8,17,12,11,14
"dragonborn",75,247,30,14,8,15,11,13,17
"dragonborn",79,240,30,14,9,13,10,17,15
"dragonborn",79,279,30,16,9,16,16,16,15
"dragonborn",75,247,30,16,12,11,11,12,11
"dragonborn",76,275,30,13,15,18,13,12,9
"dragonborn",76,245,30,10,11,12,18,14,11
"dragonborn",77,285,30,15,16,10,13,13,13
